id_recette,url,titre,categorie_principale,sous_categorie,temps_cuisson,temps_total,nombre_personnes,ingredients,instructions,est_laitier,symptomes_contre_indiques,teneur_en_polyphenols
285,https://www.choumicha.ma/recette/309-buche-citronnee-au-pralin.html,Bûche citronnée au pralin,Saveurs du maroc,Plats principaux,0m,0m,1,"Pour le biscuit : | 3 œufs jaunes et blancs séparés | 50 g de sucre semoule | 2 pincées de sel | 1 c. à soupe d'amandes effilées grillées concassées | 1 c. à soupe de noisettes grillées concassées | 30 g de farine | 30 g de Maïzena | Pour le sirop : | 100 g de sucre semoule | 10 cl d'eau | L'écorce d'un citron | Pour la garniture : | 400 g de fromage frais type ""Jebli"" ou ""Philadelphia"" | 300 g de confiture de citron | 150 g de pralin concassé* | Pour le décor : | 20 cl de crème fraîche froide | 40 g de sucre glace | 50 g de poudre de cacao | 4 morceaux de pralin | 1 c. à soupe de noix de coco","Préparation | Fouetter les blancs d'œuf en incorporant progressivement le sel et le sucre jusqu'à obtenir une meringue brillante. | Rajouter les jaunes d'œufs, les amandes et les noisettes à la meringue et mélanger délicatement. Incorporer la farine et la Maïzena tamisées et continuer à mélanger pour avoir une pâte aérée. | Étaler la pâte sur une plaque tapissée de papier sulfurisé de 30 cm X 40 cm. | Cuire le biscuit au four préchauffé à 180°C pendant 8 à 10 mn. Sortir le biscuit du four, le laisser refroidir 10 mn avant de retirer le papier sulfurisé et d'égaliser les bords. | Dans une casserole sur feu doux, préparer un sirop de densité moyenne avec le sucre, l'eau et l'écorce de citron. | Mélanger le fromage avec la confiture de citron et le pralin concassé. | Imbiber le biscuit avec le sirop et étaler la préparation au fromage dessus en évitant d'arriver jusqu'aux bords. Rouler le biscuit dans une feuille de papier de cuisson ou dans un torchon propre et le placer au frais. | Tamiser la poudre de cacao et le sucre glace. Fouetter la crème froide en lui incorporant le mélange sucre glace/poudre de cacao pour la monter en chantilly | Placer la chantilly au cacao dans une poche à douille cannelée et en garnir toute la surface du roulé pour lui donner un aspect de bûche. Saupoudrer la bûche de noix de coco. | Bon à savoir : | pour préparer le pralin, placer 100 g de sucre semoule dans une casserole et le faire fondre à feu doux et sans le remuer jusqu'à ce qu'il prenne une couleur dorée. Retirer du feu et rajouter 80 g d'amandes effilées. Mélanger pour enrober les amandes de caramel de sucre. Étaler finement le pralin sur un papier de cuisson jusqu'à ce qu'il durcisse. Le moudre, le concasser ou le briser en morceaux selon la recette.",False,1|2|5|6,9314.23
286,https://www.choumicha.ma/recette/1250-tortilla-de-pommes-de-terre-a-la-chermoula.html,Tortilla de pommes de terre à la Chermoula,Saveurs du maroc,Plats principaux,1h,1h,6,500 g de pomme de terre | 2 gousses d'ail émincées | Feuilles de coriandre émincées | 1 c. à café de cumin | 1 c. à thé de piment doux | Sel | 8 cl d'huile d'olive | 10 oeufs | 8 cl de lait ou de crème fraîche,"Préparation | Peler les pommes de terre et les détailler en petits morceaux. | Cuire les morceaux de pomme de terre dans de l'eau salée et les égoutter. | Dans une poêle sur feu doux, faire revenir les morceaux de pomme de terre avec l'ail, la moitié de l'huile d'olive et la coriandre pendant une minute. | Rajouter les épices et retirer la pomme de terre du feu. | Mélanger les oeufs avec le lait ou la crème puis rajouter le sel. | Huiler un plat allant au four avec l'huile d'olive restante, disposer les morceaux de pomme de terre dans le plat et verser dessus le mélange d'oeufs. | Cuire la tortilla au four préchauffé à 170°C pendant 25 à 30 mn jusqu'à ce qu'elle prenne une belle couleur dorée. | Eteindre le four et laisser reposer la tortilla 10 mn. Sortir la tortilla du four et la servir accompagnée de salade de légumes. | Bon à savoir : | la tortilla peut se cuire également à la poêle, utilisez une poêle antiadhésive et la cuisson doit se faire à feu très doux. Vous pouvez également saupoudrer la tortilla de fromage râpé lorsqu'elle est encore chaude.",False,1|2|3|4|6,85.89
287,https://www.choumicha.ma/recette/1256-maaqouda-aux-saucisses-et-aux-aubergines.html,Maâqouda aux saucisses et aux aubergines,Saveurs du maroc,Plats principaux,1h,1h 20m,1,1 belle aubergine | 1 c. à café de sel | Huile pour la friture | 200 g de saucisses piquantes | 2 pommes de terre | 1 gousse d’ail émincée | 8 oeufs | 5 cl de lait | 1 c. à café de sel | ½ c. à café de poivre | ½ c. à café de paprika,"Préparation | Couper l’aubergine en rondelles régulières, les saler et les laisser reposer 30 mn pour qu'elles dégorgent. | Rincer les rondelles d'aubergine et les éponger. | Frire les rondelles d’aubergine dans de l'huile chaude et les égoutter. | Peler et découper les pommes de terre en morceaux. | Cuire les morceaux de pomme de terre dans de l'eau salée et les égoutter. | Cuire les saucisses dans une poêle, les égoutter et les réserver. | Dans un bol, mélanger les oeufs avec les épices, l’ail émincé et le lait. | Tapisser un moule de papier sulfurisé. | Disposer les rondelles d’aubergine dans le moule, déposer dessus les saucisses puis les morceaux de pommes de terre. | Verser le mélange d'oeufs dans le moule et le placer au four préchauffé à 170°C pendant 25 à 30 mn. | Eteindre le four et laisser reposer la Maâqouda 10 mn. Sortir la Maâqouda du four, la démouler et la servir accompagnée d’une salade de crudités.",True,1|2|3|6,354.2
288,https://www.choumicha.ma/recette/1254-petits-rochers-de-cacahuetes-au-caramel.html,Petits rochers de cacahuètes au caramel,Saveurs du maroc,Plats principaux,0m,45m,1,250 g de cacahuètes torréfiées salées | 200 g de caramel de lait concentré sucré | 350 g de chocolat noir amer,"Préparation | Débarrasser les cacahuètes de leur peau et les concasser grossièrement. | Placer les cacahuètes dans un bol et les mélanger avec le caramel de lait concentré sucré. | Laisser reposer le mélange au congélateur pendant 30 mn. Faire fondre le chocolat au bain-marie. | Prélever une petite cuillère de la préparation cacahuètes/caramel et la tremper dans le chocolat fondu. | Une fois les cacahuètes enrobées de chocolat les retirer et les déposer délicatement sur une feuille de papier sulfurisé. | Recommencer jusqu'à épuisement des ingrédients. | Laisser durcir le chocolat puis ranger les petits rocher dans des caissettes en papier. | Bon à savoir : le caramel de lait concentré sucré reste mou même après un long séjour au congélateur, je vous recommande de confectionner des petits rochers pour ne pas disperser les cacahuètes dans le chocolat.",False,3|4|6,13036.74
289,https://www.choumicha.ma/recette/1260-maaqouda-au-poulet.html,Maâqouda au poulet,Saveurs du maroc,Volailles,1h,1h 20m,6,300 g de blanc de poulet | 1 feuille de laurier | 1 gousse d’ail | 3 oeufs durs | 6 gros oeufs | 80 g de fromage râpé | 5 cl de lait | 50 g d’olives vertes dénoyautées et coupées en morceaux | ¼ de c. à café de noix de muscade | ½ c. à café de poivre | 1 c. à café de sel,"Préparation | Dans une casserole d'eau bouillante salée, déposer la feuille de laurier et la gousse d'ail écraser et y faire cuire le blanc de poulet. Égoutter le blanc de poulet et l’émietter. | Dans un bol, mélanger les œufs avec le | fromage, les épices, le lait, les olives et le poulet émietté. | Dans un moule tapissé de papier sulfurisé, verser la moitié | de la préparation au poulet, la garnir d’œufs durs et recouvrir | avec l’autre moitié. Cuire le plat au four préchauffé à 170°C pendant 25 à 30 mn environ. Éteindre le four et laisser reposer la Maâqouda 10 mn. Démouler la Maâqouda et la servir accompagnée d’une salade de crudités. | Bon à savoir : | vous pouvez griller le blanc de poulet ou utiliser des restes de poulet pour préparer cette Maâqouda.",True,1|2|3,118.61
290,https://www.choumicha.ma/recette/1240-foret-noire.html,Forêt noire,Saveurs du maroc,Plats principaux,12m,2h 12m,4,Pour la génoise : | 4 œufs | 120 g de sucre semoule | 80 g de farine | 40 g de poudre de cacao | ½ c. à café de sel | Pour la ganache au chocolat : | 25 cl de crème fraîche | 250 g de chocolat noir amer | Pour le sirop : | 100 g de sucre semoule | 15 cl d’eau | 1 c. à soupe de café soluble | Pour la garniture : | 400 g de crème chantilly | 100 g de cerises confites | Pour le décor : | Copeaux de chocolat noir,"Préparation | Dans un récipient, fouetter les œufs avec le sucre et le sel jusqu’à ce que le mélange blanchisse et double de volume. | Ajouter la farine et la poudre de cacao tamisées en pluie tout en mélangeant avec une spatule en bois du haut vers le bas pour obtenir une pâte sans grumeaux légère et aérée. | Étaler la pâte uniformément sur une plaque tapissée de papier sulfurisé, et la faire cuire au four préchauffé à 170°C pendant 10 à 12 mn. | Sortir le biscuit du four et le laisser refroidir. | Dans une casserole, préparer un sirop de consistance moyenne avec le sucre, l’eau et le café. | Faire fondre le chocolat noir au bain-marie et lui incorporer la crème fraîche, mélanger jusqu’à obtention d’une ganache brillante. | Découper le biscuit pour obtenir 3 morceaux identiques. | Imbiber le premier morceau de biscuit de sirop de café, puis le garnir de ganache au chocolat. | Déposer par dessus le second morceau de biscuit. | Imbiber ce dernier de sirop de café puis y étaler la moitié de la crème chantilly. | Déposer les cerises sur la crème chantilly et couvrir le tout avec le dernier morceau de biscuit. Imbiber le dernier biscuit de sirop de café. Couvrir le gâteau de film alimentaire et le réserver au réfrigérateur pendant 2 h. | Sortir le gâteau du réfrigérateur, le recouvrir de crème chantilly restante et le décorer de copeaux de chocolat. | Bon à savoir : | pour égaliser les bords du gâteau et obtenir un rectangle ou un carré parfait, faire durcir le gâteau au congélateur puis découper les bords à l’aide d’un couteau chauffé légèrement sur une flamme. Veiller à nettoyer régulièrement la lame du couteau pendant la coupe.",False,1|2|3|4|5|6,3708.82
291,https://www.choumicha.ma/recette/1220-tajine-de-tomate-au-khlii-et-aux-oeufs.html,Tajine de tomate au Khliï et aux œufs,Saveurs du maroc,Tajines,20m,50m,6,4 belles tomates | 1 gousse d’ail | 3 c. à soupe d’huile d’olive | 180 g de Khliï* dégraissé (Cliquez sur lien dans la préparation) | 6 œufs | Feuilles de persil | Sel et cumin,"Préparation | Dans un tajine sur feu doux, disposer les tomates coupées en rondelles, saler et ajouter l'ail émincé et l’huile d’olive. | Couvrir le tajine et laisser cuire la tomate pendant 10 à 15 mn. | Ajouter le | Khliï | dégraissé et émietté puis le cumin et continuer la cuisson pendant 5 mn. | Rajouter les œufs et les feuilles de persil émincées et cuire encore pendant 3 à 4 mn le temps que le blanc d’œuf se fige. | Servir le tajine très chaud, accompagné de thé à la menthe.",False,1|2|6,20.94
292,https://www.choumicha.ma/recette/1244-chaaria-bel-lahlib.html,Chaâria bel lahlib,Saveurs du maroc,Plats principaux,25m,35m,4,250 g de vermicelle de taille moyenne | Sel | 30 cl de lait concentré non sucré | 60 cl d’eau | Pour servir : | 50 g de beurre | 2 c. à soupe de miel,"Préparation | Dans une marmite, déposer l’eau et le sel. | À ébullition, ajouter le vermicelle, laisser cuire en remuant de temps en temps pendant 10 mn environ. | Verser le lait et continuer la cuisson à feu moyen pendant 5 à 8 mn environ. | Servir la Chaâria bien chaude garnie de beurre et de miel. | Conseils : | Cette Chaâria, recette citadine, peut être préparée avec toutes sortes de petites pâtes. | Ce plat est servi lors des dîners ou pour les petits-déjeuners. | Le lait concentré non sucré peut être remplacé par de la poudre de lait ou du lait frais.",False,1|2|3|5|6,124.65
293,https://www.choumicha.ma/recette/1248-tajine-de-veau-aux-haricots-blancs-frais-loubia-grini.html,Tajine de veau aux haricots blancs frais (Loubia Grini),Saveurs du maroc,Tajines,0m,0m,4,"500 g de viande de veau | 3 gousses d'ail émincées | 1 c. à thé de curcuma | 1 c. à thé de gingembre | 1 c. à thé de cumin | 2 c. à thé de piment doux | 1/2 c. à thé de poivre | Sel | 8 cl d'huile d'olive | 1 petit bouquet de coriandre | 2 belles tomates | 1,5 l d'eau | 400 g de haricots blancs frais (Loubia Grini)* | Pour le décor : | 6 tomates cerises | 1 c. à soupe d'huile d'olive | 2 pincées de sel","Préparation | Peler, épépiner et détailler les tomates en quatre. | Dans une marmite sur feu doux, déposer la viande, les épices, une tomate, le bouquet de coriandre, l'huile d'olive et un verre d'eau. | Faire revenir tous les ingrédients pendant 10 mn environ. | Mouiller avec l'eau restante et laisser cuire à couvert jusqu'à ce que la viande devienne tendre. | Retirer la viande et la réserver au chaud. | Déposer les haricots et la tomate restante dans la sauce. | Cuire à couvert et à feu doux jusqu'à ce que les haricots deviennent fondants et la sauce réduite. | Poêler les tomates cerise dans l'huile d'olive, saler et réserver. | Dans un plat préchauffé, déposer la viande, la garnir de haricots blancs et la napper de sauce. | Décorer le plat avec les tomates cerise et le servir bien chaud. | Bon à savoir : | ""Loubia"" en marocain veut dire haricot et ""Grini"" est une déformation du mot égrener. Les haricots à égrener ou haricots à écosser sont délicieux cuisinés en tajine avec des morceaux de viande gélatineuse comme le jarret, la langue, les joues ou la queue de veau.",False,1|2|3|4|5|6,1221.68
294,https://www.choumicha.ma/recette/1228-cake-sale-au-salami-et-a-la-tapenade.html,Cake salé au salami et à la tapenade,Saveurs du maroc,Plats principaux,45m,55m,6,250 g de farine | 4 œufs | 200 g de salami fumé | 12 cl de lait | 4 tomates séchées | 1 c. à café de concentré de tomates | 3 c. à soupe de tapenade (purée d’olives noires) | 1 sachet et demi de levure chimique (12 g) | 1 c. à café de bicarbonate | 12 cl d’huile | Sel et poivre | Pour le décor : | 50 g d’amandes effilées,"Préparation | Réhydrater les tomates séchées dans un peu d’eau, les essorer et les couper en petits morceaux. | Mélanger dans une terrine les œufs battus avec la farine, le bicarbonate, la levure, le bicarbonate, le lait et l’huile. | Ajouter le concentré de tomate et les tomates séchées. | Saler et poivrer. | Ajouter le salami coupé en morceaux et la tapenade. | Verser dans un moule beurré et parsemer d’amandes effilées. | Cuire au four préchauffé à 180° C pendant 45 mn environ. | Laisser refroidir le cake avant de le démouler. | Bon à savoir : | cuit dans des moules à financiers, ce cake et délicieux en apéritif et peut également agrémenter un plateau de petits salés. Réduire le temps de cuisson en fonction de la taille des moules utilisés.",True,1|2|3|6,442.08
295,https://www.choumicha.ma/recette/1230-cake-sale-a-la-tomate-sechee-mozzarella-et-basilic.html,"Cake salé à la tomate séchée, mozzarella et basilic",Saveurs du maroc,Plats principaux,45m,55m,6,250 g de farine | 4 œufs | 1 yaourt nature | 10 cl d’huile d’olive | 1 sachet et demi de levure chimique (12 g) | 1 c. à café de bicarbonate | 4 tomates séchées | 100 g de mozzarella | 1 bouquet de basilic | Sel et poivre,"Préparation | Réhydrater les tomates séchées dans de l’eau pour les faire ramollir et les couper en morceaux. | Couper également la mozzarella en dés et ciseler le basilic. | Mélanger la farine, la levure, le bicarbonate, le poivre, les œufs battus et le yaourt. | Ajouter l’huile d’olive, les morceaux de tomate, les dés de mozzarella, le sel et le basilic ciselé. | Verser la pâte dans un moule rectangulaire beurré et fariné. | Cuire le cake au four préchauffé à 180°C pendant 45 mn environ. | Laisser refroidir le cake avant de le démouler. | Bon à savoir : | cuit dans des moules à financiers, ce cake et délicieux en apéritif et peut également agrémenter un plateau de petits salés. Réduire le temps de cuisson en fonction de la taille des moules utilisés.",True,1|2|3|6,269.84
296,https://www.choumicha.ma/recette/1236-olives-noires-marinees.html,Olives noires marinées,Saveurs du maroc,Plats principaux,10m,30m,6,350 g d'olives noires dénoyautées | 1 gousse d'ail | 1 c. à café de cumin | 1/2 c. à café de carvi | 1 c. à café de thym | 1/2 c. à café d'origan | 1 c. à café de piment fort ou doux selon le goût | 10 cl d'huile d'olive,"Préparation | Dans un mortier, piler la gousse d'ail en chemise avec les épices et les herbes. | Déposer le mélange dans une poêle sur feu doux, ajouter l'huile d'olive et les olives noires. | Faire revenir pendant 5 à 10 mn le temps que les olives noires s'imprègnent de toutes les saveurs. | Laisser refroidir les olives avant de les placer dans un bocal en verre. | Bon à savoir : | ces olives noires marinées sont servies en entrée avec les salades marocaines qui accompagne le plat principal, et également pour accompagner le pain au petit déjeuner et au goûter.",False,1|2|3|6,417.23
297,https://www.choumicha.ma/recette/1234-baklawa.html,Baklawa,Saveurs du maroc,Plats principaux,30m,1h 30m,1,20 feuilles de pâte filo | 400 g d’amandes grillées | 4 c. à soupe de sucre semoule | 1 c. à thé de cannelle en poudre | 500 g de beurre noisette | Pour le sirop : | ½ l d’eau | 750 g de sucre semoule | Le jus d’un citron | Eau de roses | Pour le décor : | Amandes entières,"Préparation | Moudre les amandes entières puis les mélanger avec le sucre semoule et la cannelle en poudre. | Préparer un sirop de densité moyenne avec le sucre semoule, le jus de citron et l’eau. | Une fois le sirop prêt, le parfumer à l’eau de roses. | Sur une plaque, déposer une couche de 10 feuilles de pâte filo et la garnir d’une épaisse couche d’amandes à la cannelle. | Recouvrir la farce avec les feuilles restantes de pâte filo. | Verser la moitié du beurre noisette sur la dernière couche de pâte filo. | Placer la plaque au frais pendant 20 mn pour figer le beurre et faciliter la découpe des Baklawa. | Sortir la plaque du réfrigérateur et découper la pâte filo en carrés ou en losanges et garnir chaque Baklawa d’une amande. | Verser délicatement le beurre noisette restant sur les Baklawa. | Cuire au four préchauffé à 180°C pendant 30 mn environ en retournant la plaque régulièrement pour que les Baklawa soient dorés uniformément. | Sortir les Baklawa du four et verser dessus le sirop. | Laisser absorber les Baklawa jusqu’à ce qu’ils refroidissent.",False,1|2|4|5|6,7016.82
298,https://www.choumicha.ma/recette/1238-tarte-amandine-au-citron.html,Tarte amandine au citron,Saveurs du maroc,Plats principaux,30m,1h,4,Pour la pâte : | 250 g de farine | 60 g de sucre glace | 125 g de beurre | 1 c. à café de zeste de citron | 2 jaunes d’œufs | ½ c. à café de sel | Pour la garniture : | 150 g de poudre d’amandes | 150 g de beurre | 150 g de sucre glace | 2 œufs | 2 c. à café de zeste de citron | Jus d’un citron | Pour le décor : | 50 g d’amandes effilées | 2 c. à soupe de confiture d’abricot | Le zeste d’un citron,"Préparation | Dans un récipient, déposer la farine, le sucre et le sel. Ajouter le beurre, le zeste de citron et les jaunes d’œufs. | Mélanger le tout jusqu’à obtention d’une pâte homogène. | Envelopper la pâte dans un film alimentaire et la laisser reposer 30 mn au réfrigérateur. | Dans un bol, travailler le beurre avec le sucre. Ajouter les œufs, le zeste et le jus de citron puis la poudre d’amandes afin d’obtenir une crème lisse et homogène. | Sur un plan de travail fariné, étaler la pâte sur une épaisseur de 3 mm. La découper en disques à l’aide d’un emporte-pièce. | Garnir des moules à tarte beurrés et farinés avec les disques de pâte. | Piquer les fonds de tartes avec une fourchette. | Garnir les fonds de tartes de crèmes d’amandes et les saupoudrer d’amandes effilées. | Cuire les tartes au four préchauffé à 180°C pendant 25 à 30 mn environ. Laisser refroidir les tartes avant de les démouler. | Passer la confiture d’abricot dans un tamis fin. | Napper le dessus des tartes de confiture d’abricot et les décorer de zeste de citron.",False,1|2|3|6,584.34
299,https://www.choumicha.ma/recette/1222-chorba-de-pates-langue-doiseau-au-safran.html,Chorba de pâtes langue d’oiseau au safran,Saveurs du maroc,Plats principaux,1h,1h 15m,4,"250 g de pâtes langue d’oiseau | 250 g de viande d’agneau coupée en morceaux | 1 petit bouquet de persil | 1 oignon émincé | 1 c. à thé de S’men | 10 pistils de safran | Sel | 1/2 c. à café de poivre | 1/2 c. à café de gingembre | 8 cl d’huile de table | 1,5 l d’eau","Préparation | Dans une marmite sur feu doux, faire revenir l’oignon et les morceaux de viande dans l’huile et le S’men pendant 5 mn. | Ajouter l’eau, les épices et le bouquet de persil et cuire la viande à feu doux et à couvert pendant environ 30 mn. | Lorsque la viande est cuite, ajouter les pâtes langue d’oiseau et continuer la cuisson à feu doux et en remuant de temps en temps. | Lorsque les pâtes sont cuites, retirer le bouquet de persil et servir la Chorba bien chaude. | Conseil : | vous pouvez remplacer l’agneau par des abattis de poulet et le S’men par du beurre. Rajoutez de l’eau bouillante lors de la cuisson si nécessaire. | Bon à savoir : | cette recette citadine est très appréciée en entrée ou pour un dîner léger. Elle est aussi servie à la place de la harira pendant le Ramadan.",False,1|2|3|4|5|6,212.3
300,https://www.choumicha.ma/recette/1216-petits-paniers-souffles-au-fromage-au-poulet.html,Petits paniers soufflés au fromage / au poulet,Saveurs du maroc,Volailles,30m,1h,4,Pour les petits paniers soufflés au fromage bleu : | Pour la farce : | 50 g de fromage bleu | 100 g de ricotta | 2 jaunes d’oeufs | 2 c. à soupe de lait | 2 c. à soupe de crème fraîche | 50 g de noix | 4 figues sèches | Sel et poivre | 1 blanc d’oeuf monté en neige | Pour les paniers : | 4 feuilles de pâte filo | 2 c. à soupe de beurre fondu | Pour les petits paniers soufflés au poulet : | Pour la farce : | 100 g de blanc de poulet coupé en dés | 1 oignon blanc émincé | 2 c. à soupe d’huile | 2 jaunes d’oeufs | 15 cl de crème fraîche | 4 pincées de noix de muscade | Sel et poivre | 1 blanc d’oeuf monté en neige | Pour les paniers : | 4 feuilles de pâte filo | 2 c. à soupe de beurre fondu,"Préparation | Petits paniers soufflés au fromage bleu | Plier chaque feuille de pâte filo en quatre. | Beurrer 4 ramequins et les tapisser avec les feuilles de pâte filo pliées. | Enduire les feuilles de beurre et réserver. | Faire gonfler les  figues sèches dans un peu d’eau tiède, les égoutter et les détailler en morceaux. | Déshumidifier les noix au four chaud pendant 5 mn, les frotter avec un linge propre pour les débarrasser de leur peau et les concasser. | Dans un bol, travailler les fromages avec le lait et la crème fraîche. | Ajouter les jaunes d’œufs, les noix concassées et les figues. | Saler et poivrer puis incorporer délicatement le  blanc d’œuf monté en neige. | Garnir les paniers avec la préparation. | Placer les paniers au four préchauffé à 170°C pendant environ 15 à 20 mn. | Sortir les paniers du four et les servir aussitôt. | Petits paniers soufflés au poulet | Plier chaque feuille de pâte filo en quatre. | Beurrer 4 ramequins et les tapisser avec les feuilles de pâte filo pliées. | Enduire les feuilles de beurre et réserver. | Dans une poêle sur feu vif, sauter les dés de poulet dans 1 c. à soupe d’huile et les réserver. | Dans la même poêle, faire dorer l’oignon dans l’huile restante sur feu très doux. | Dans un bol, mélanger le poulet avec l’oignon, la crème fraîche, les jaunes d’œufs et la noix de muscade. | Saler et poivrer puis incorporer délicatement le blanc monté en neige. | Garnir les paniers avec la préparation. | Placer les paniers au four préchauffé à 170°C pendant environ 15 à 20 mn. | Sortir les paniers du four et les servir aussitôt.",True,1|2|3|6,99.42
301,https://www.choumicha.ma/recette/1218-cigares-au-poulet-epice.html,Cigares au poulet épicé,Saveurs du maroc,Volailles,20m,45m,4,Pour la farce : | 2 blancs de poulet | 1 gousse d’ail émincée | ¼ de c. à café de noix de muscade | 2 pincées de cardamome pilée | 2 pincées de cannelle | 1 c. à café de curcuma | ¼ de c. à café de piment fort | ½ c. à café de gingembre | 1 c. à café de sel | 4 c. à soupe de yaourt nature | 1 poivron rouge grillé | 1 c. à soupe de coriandre émincée | Pour le pliage : | 12 petites feuilles de pastilla (Cliquez sur lien dans la préparation) | 1 oeuf pour coller les cigares | Huile,"Préparation | Découper le blanc de poulet en dés. | Dans un bol, déposer le yaourt, ajouter les épices, le sel et l’ail. | Faire mariner les dés de poulet dans le yaourt épicé pendant 2 h. | Dans une poêle, faire sauter sur feu vif les morceaux de poulet marinés et égouttés pendant 5 à 8 mn. | Retirer du feu et laisser refroidir. | Peler, épépiner et détailler le poivron en petits morceaux. | Mélanger le poulet avec la coriandre et le poivron. | Confectionner des cigares avec la farce et | les feuilles de pastilla | , coller le bord avec l’œuf battu. | Frire les cigares dans de l’huile chaude jusqu’à ce qu’ils prennent une belle couleur dorée. | Égoutter les cigares, les éponger avec du papier absorbant et les servir aussitôt. | Conseil : | vous pouvez remplacer les épices utilisées pour l’assaisonnement du poulet par 1 c. à café de mélange d’épices pour Chawarma.",False,1|2|3|6,43.36
302,https://www.choumicha.ma/recette/1204-tajine-de-jarret-de-veau-aux-coings-caramelises-a-lorange.html,Tajine de jarret de veau aux coings caramélisés à l’orange,Saveurs du maroc,Tajines,35m,1h,6,Pour le tajine : | 1 kg de jarret de veau | 1 oignon moyen émincé | 2 gousses d’ail émincées | 1 petit bouquet de tiges de coriandre | 1 c. à thé bombé de gingembre | 1/2 c. à thé de poivre | 8 pistils de safran | 1 c. à thé de curcuma | 1 bâtonnet de cannelle | Sel | 3 c. à soupe d’huile | 1 l d’eau | Pour les fruits : | 1 orange | 4 coings | 1 citron | ½ c. à café de cannelle | 2 c. à soupe d’eau de fleurs d’oranger | 4 c. à soupe de sucre semoule | Pour le décor : | 20 g d’amandes effilées grillées,"Préparation | Dans une marmite sur feu doux, faire revenir la viande, l’oignon et l’ail dans l’huile pendant 2 mn. | Mouiller à hauteur avec l’eau, ajouter les épices, le sel et le bouquet de tiges de coriandre. | Laisser cuire la viande à couvert et à feu doux jusqu’à ce qu’elle devienne fondante et la sauce bien réduite. | Retirer le bouquet de tiges de coriandre et le bâtonnet de cannelle. | Détailler l’orange en quartiers fins et réguliers et découper chaque coing en 8 quartiers. | Epépiner et citronner ces derniers. | Cuire les quartiers de coings dans de l’eau bouillante salée pendant 15 mn et les égoutter. | Dans une grande poêle sur feu doux, verser 15 cl d’eau de cuisson des coings, l’eau de fleurs d’oranger et amener à ébullition. | Baisser le feu et disposer à plat les quartiers de fruits (coings et orange), les saupoudrer de sucre et de cannelle et les laisser caraméliser en les retournant délicatement pendant 15 à 20 mn environ. | Dresser la viande dans un plat préchauffé, la garnir de fruits caramélisés et la napper de jus de cuisson. | Saupoudrer le plat d’amandes effilées et le servir chaud.",False,1|2|3|4|5|6,74.77
303,https://www.choumicha.ma/recette/1206-soupe-de-lentilles-au-saucisson-sec-de-boeuf.html,Soupe de lentilles au saucisson sec de bœuf,Saveurs du maroc,Soupes et hariras,30m,45m,6,100 g de saucisson de bœuf coupé en dés | 2 c. à soupe d’huile d’olive | 350 g de lentilles | 2 gousses d’ail émincées | 1 petit bouquet de persil et de coriandre | 1 c. à café de cumin | 1 c. à café de paprika | 1 c. à café de sel | ½ c. à soupe de concentré de tomates | 1 l de bouillon de légumes,"Préparation | Moudre grossièrement les lentilles, les laver dans un saladier pour les débarrasser de leur peau. | Dans une marmite sur feu doux, faire rissoler les dés de saucisson, les retirer et les réserver au chaud. | Déposer les lentilles dans la marmite, l’ail, le bouquet d’herbes, les épices, le sel, l’huile d’olive, le concentré de tomates et le bouillon. | Couvrir la marmite et laisser cuire tous les ingrédients à feu doux pendant 25 à 30 mn environ. | Retirer le bouquet d’herbes, mixer les lentilles et les passer au chinois pour obtenir une texture de velouté. | Servir la soupe de lentilles chaude garnie de dés de saucisson rissolés.",False,1|2|3|6,166.5
304,https://www.choumicha.ma/recette/1212-cigares-au-surimi-fenouil-et-carotte.html,"Cigares au SURIMI, Fenouil et carotte",Saveurs du maroc,Plats principaux,20m,45m,4,Pour la farce : | 1 fenouil | 2 carottes | 100 g de surimi | 40 g de beurre | 4 brins de ciboulette émincée | Sel et poivre | Pour le pliage : | 12 petites feuilles de pastilla (Cliquez sur lien dans la préparation) | 1 œuf pour coller les cigares | Huile pour friture,"Préparation | Détailler le fenouil en fine julienne et râper les carottes. | Couper finement les bâtonnets de surimi et réserver. | Dans une poêle sur feu moyen, faire sauter le  fenouil et les carottes dans le beurre pendant 3 à 5 mn environ. | Retirer la poêle du feu et laisser refroidir les légumes. | Dans un bol, mélanger les légumes avec le surimi. | Ajouter la ciboulette, saler et poivrer. | Confectionner des cigares avec la farce et | les feuilles de pastilla | , coller le bord avec l’œuf battu. | Frire les cigares dans de l’huile chaude jusqu’à ce qu’ils prennent une belle couleur dorée. | Les égoutter et les éponger avec du papier absorbant. | Servir les cigares chauds.",False,1|2|6,14.24
